"Indices","Stock Code","Yh Code","Company Name","Website","Description"
"AIM All Share","AFS","AFS.L","AMIAD WATER SYSTEMS LD",https://amiad.com/,"Amiad Water Systems is a world leader in water treatment and filtration solutions, and for over 57 years has devoted its passion and commitment to developing a comprehensive line of water filtration systems for applications in the irrigation and industrial markets.  //  AMIAD WORLDWIDE  //  Select your country and language  //  "
"AIM All Share","AGFX","AGFX.L","ARGENTEX GROUP PLC",https://www.argentex.com/,"Argentex Group PLC delivers bespoke foreign exchange services to financial institutions, corporates and private clients all over the world  //  
        Argentex  delivers bespoke foreign exchange services to financial institutions, corporates and private clients all over the world
              //     //  "
"AIM All Share","AGM","AGM.L","APPLIED GRAPHENE MATERIALS PLC",https://www.appliedgraphenematerials.com/,"WE ARE GRAPHENE Applied Graphene Materials are innovators and have been harnessing the&nbsp;potential of graphene for more than a decade. Our patent-protected technology produces a range of Graphene Nanoplatelets which we utilise in both our standard&nbsp;Genable®&nbsp;product ranges, as well as customised dispersion to meet specific customer application needs. Our dispersion capabilities are unrivalled across the [&hellip;]  //  For the last decade, AGM has been at the forefront of harnessing the possibilities of graphene. We are a world leader in the development and application of graphene nanoplatelet dispersions for customers in the coatings, composites and functional materials sectors. 

We’re proud to create successful, easy to handle dispersions that our customers use in real-world  products. Our unique approach enables our industrial partners to fully realise the potential of graphene in a simple, safe and easy to formulate way. 
  //    //  "
"AIM All Share","AGY","AGY.L","ALLERGY THERAPEUTICS PLC",https://www.allergytherapeutics.com/,"Home  //  Global pioneers of convenient treatment for allergy and immune related disorders.  //  Transforming lives by delivering convience.  //  "
"AIM All Share","ALBA","ALBA.L","ALBA MINERAL RESOURCES PLC",https://www.albamineralresources.com/,"The Group's natural resources portfolio consists of gold, graphite, ilmenite, base metal and oil projects and investments, which range from exploration targets through to more advanced, drilled or drill-ready projects.   //  A drill-ready, exceptionally high-grade flake Graphite Project in Southern Greenland including a formerly producing graphite mine  //  "
"AIM All Share","ALT","ALT.L","ALTITUDE GROUP PLC",https://www.altitudeplc.com/,"AIM Smarter operates the leading global marketplace within the c. £28 billion promotional products industry. We deliver in-industry SME’s around the globe with best-in-class services, technology and marketing tools, as well as connect them to our trusted supplier partners.  //  Supplier Partners  //  "
"AIM All Share","AMC","AMC.L","AMUR MINERALS CORPORATION",https://amurminerals.com/,""
"AIM All Share","AMS","AMS.L","ADVANCED MEDICAL SOLUTIONS GRP PLC",https://www.admedsol.com/,"Advanced Medical Solutions develops and manufactures advanced wound care dressing technologies for management of chronic and acute wounds.  //  We manufacture a wide range of products and materials that include silver alginates, alginates, foams, tissue adhesives, sutures and haemostats, marketed under our own brands ActivHeal®, LiquiBand® and RESORBA® and supplied to customers under their own brand labels.  //  We manufacture products and materials out of two sites in the U.K., one in the Netherlands, two in Germany and one in the Czech Republic.  Our products are sold in 77 countries via a network of multinational or regional partners and distributors, as well as via our own direct sales forces in the U.K., Germany, the Czech Republic and Russia. Established in 1991, we employ over 650 employees.  //  "
"AIM All Share","ANCR","ANCR.L","ANIMALCARE GROUP PLC",https://www.animalcaregroup.com/,"loading  //  Cookies This website uses cookies. Read our cookie policy for further details.  //  "
"AIM All Share","ANGS","ANGS.L","ANGUS ENERGY PLC",https://www.angusenergy.co.uk/,"Angus Energy is an independent onshore oil and gas development company focused on advancing its portfolio of licensed UK assets. We are a team of petroleum industry specialists with a...  //  Angus Energy is an independent onshore oil and gas development company focused on advancing its portfolio of licensed UK assets.  //  We are a team of petroleum industry specialists with a proven track record of operational excellence and fiscal discipline meeting the energy demands of the United Kingdom without utilizing hydraulic fracturing.  //  "
"AIM All Share","ANP","ANP.L","ANPARIO PLC",https://www.anpario.com/,"Global Leaders. Local Experts. Anpario is an international producer and distributor of high performance natural feed additive technologies for animal health, hygiene and nutrition.  //  Anpario plc is an independent international manufacturer and distributor of natural feed additives for animal health, nutrition and biosecurity.   //  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer nec odio. Praesent libero. Sed cursus ante dapibus diam. Sed nisi.  //  "
"AIM All Share","APGN","APGN.L","APPLEGREEN PLC",https://applegreenstores.com/,"Applegreen strives to constantly improve our offering to our customers and deliver on our low fuel prices, always, promise. With fuelgood, we are doing exactly this.  //  Want great tasting fresh food and coffee? We have a wide range of offers available to cater for every taste. Everything you need, you'll find it all here.  //  Applegreen is committed to supporting the work of deserving charities. Every time you make a shop and fuel or a shop-only purchase in Applegreen, we donate 1 cent to the Applegreen Charitable fund on your behalf.  //  "
"AIM All Share","APP","APP.L","APPRECIATE GROUP PLC",https://www.appreciategroup.co.uk/,"Appreciate Group plc is the UK’s leading multi-retailer redemption product provider to corporate and consumer markets.  //  Appreciate Group is a leading gifting and engagement company, and we are experts at creating joyful experiences and connecting people to the things in life they enjoy the most.  //  Everything we do is focused on creating more joy in the world, and we are trusted to help our customers create moments they can treasure and remember whether they are giving, receiving or experiencing something special.  //  "
"AIM All Share","ARBB","ARBB.L","ARBUTHNOT BANKING GROUP PLC",http://www.arbuthnotgroup.com/,"Arbuthnot Banking Group  //  Arbuthnot has&nbsp;a history of over&nbsp;184 years successfully serving its customers, with a long track record of profitability that has seen it adapt and grow in a continually changing world  //  Our stability and  longevity derive  from a continued commitment to  service, integrity  and an independent  banking approach.  //  "
"AIM All Share","ARCM","ARCM.L","ARC MINERALS LD ORDS NPV (DI)",https://www.sharecast.com/.../director-dealings-arc-minerals-executive-makes -share-purchase--7573931.html,""
"AIM All Share","ARE","ARE.L","ARENA EVENTS GROUP PLC",https://arenagroup.com/investors/,"Arena Events Group plc is an AIM-listed company on the London Stock Exchange. We deliver temporary event environments for events like Wimbledon, the Met Gala, the Open, and The Hong Kong Sevens. Our high standard of delivery, the Arena Standard, has resulted in longstanding customer relationships with these prestigious events.  //  Needingworth Industrial Estate
						St Ives, Cambridgeshire
						PE27 4NBY  //  +44 1480 468888  //  "
"AIM All Share","ARK","ARK.L","ARKLE RESOURCES PLC",https://arkleresources.com/,"Active Explorer
World Class Jurisdiction
Success in Emerging Gold Territory
Maiden Resource at Stonepark Zinc Project  //  Gold is sought after not only for investment purposes and for jewellery, but it is also used in the manufacturing of certain electronic and medical devices. The demand for gold, the amount of gold in the central banks’ reserves, the value of the U.S. dollar and the desire to hold gold as a hedge against inflation and currency devaluation, all help drive the price of gold.  //  "
"AIM All Share","ASC","ASC.L","ASOS PLC",https://www.asosplc.com/,"WE ARE AUTHENTIC, BRAVE AND CREATIVE TO OUR CORE  //  We focus on fashion as a force for good, inspiring young people to express their best selves and achieve amazing things. We believe fashion thrives on individuality and should be fun for everyone.  //  ASOS is a unique, multi-platform experience that truly resonates with the people who use it, because it&rsquo;s built by them. It&rsquo;s a place to develop your own style and be inspired&hellip; and, of course, to shop.  //  "
"AIM All Share","AST","AST.L","ASCENT RESOURCES PLC",https://www.ascentresources.co.uk/,"Welcome to the website for Ascent Resources plc, an independent oil and gas exploration company with a focus on European onshore projects.  //    //  Regulatory News Service announcements for Ascent Resources plc. You can also sign up for instant Email Alerts and never miss an announcement.  //  "
"AIM All Share","ATM","ATM.L","AFRITIN MINING LD",https://www.thebushveldperspective.com/blog/public.../afritin-the-rnss-168,""
"AIM All Share","ATYM","ATYM.L","ATALAYA MINING PLC",https://atalayamining.com/,"Operational Expertise That Delivers  //  test  //  Atalaya Mining Annual General Meeting 2020 Relevant Information  //  "
"AIM All Share","AUK","AUK.L","AUKETT SWANKE GROUP PLC",https://www.aukettswanke.com/,""
"AIM All Share","AUTG","AUTG.L","AUTINS GROUP PLC",https://autins.com/,"Providing best-in-class solutions that create competitive advantage and generate premium margin  //  
                //  
            Autins is an industry-leading designer, manufacturer and supplier of acoustic and thermal insulation solutions for the automotive industry and other sectors.

We address complex and challenging problems through responsive and innovative applications engineering and advanced manufacturing that results in optimised specialist solutions for acoustic and thermal management worldwide.            //  "
"AIM All Share","AVG","AVG.L","AVINGTRANS PLC",https://www.avingtrans.plc.uk/,"Avingtrans plc has a proven strategy of “buy and build” in highly regulated engineering markets, a strategy it has named “Pinpoint-Invest-Exit”.  //  AVG.L&nbsp;212.00 (-4.50&nbsp;-2.08%)   //  Energy  //  "
"AIM All Share","AXS","AXS.L","ACCSYS TECHNOLOGIES PLC",https://www.accsysplc.com/,"Accsys combines chemistry, technology and ingenuity to make high performance sustainable wood products: Accoya acetylated solid wood and Tricoya acetylated wood elements.  //  About us  //  Accsys is changing wood to change the world. Find out more about us, our operations and our business.  //  "
"AIM All Share","BAR","BAR.L","BRAND ARCHITEKTS GROUP PLC",https://www.brandarchitektsplc.com/,"Brand Architekts Group PLC is a UK beauty brands business, specialising in the delivery of innovative and exciting new beauty products to consumers and retailers.  //  Brand Architekts is a British challenger-brand business operating in the beauty sector, focused on:  //  The Group has a rapidly growing portfolio of innovative, added-value brands, developed within Brand Architekts, which are marketed and distributed to leading retailers in the UK and internationally.  //  "
"AIM All Share","BBB","BBB.L","BIGBLU BROADBAND PLC",https://bbb-plc.com/,"With more than 115,000 customers across 30 countries, bigblu is the world&rsquo;s largest multi territory alternative broadband service provider connecting consumers, businesses and governments to super-fast broadband via satellite, fixed wireless and 4G/5G  //  bigblu connects consumers, businesses and governments to superfast broadband via satellite and fixed wireless.  //  "
"AIM All Share","BCN","BCN.L","BACANORA LITHIUM PLC ORDS 10P",https://www.bacanoralithium.com/,"Home  //  Bacanora Lithium plc is an AIM-listed lithium development and exploration company with the Sonora Lithium Project in Mexico  //  Rapidly commercialising the world class Sonora Lithium Project in Mexico  //  "
"AIM All Share","BEG","BEG.L","BEGBIES TRAYNOR GROUP PLC",https://www.begbies-traynorgroup.com/,"Begbies Traynor is a leading independent business recovery specialist, advising major banks, accountancy practices, law firms, and directors & stakeholders.  //  Begbies Traynor is the UK’s leading business rescue and recovery specialist, providing a partner-led service to stakeholders in troubled businesses.  //  Closure options effectively relate to liquidation of which there are two forms; compulsory and voluntary.  //  "
"AIM All Share","BEM","BEM.L","BEOWULF MINING PLC",https://beowulfmining.com/,"Welcome to Beowulf Mining plc (“Beowulf”). We specialise in discovering and developing natural resources in the Nordic Region. We are a multi commodity, exploration and development company with assets in Sweden and Finland.  //  Natural Resources to Meet Society’s Needs for Metals  //  Natural Resources to Meet Society’s Needs for Metals  //  "
"AIM All Share","BIDS","BIDS.L","BIDSTACK GROUP PLC",https://bidstackgroup.com/,"We are an AIM quoted native in-game advertising company serving the global video games industry across multiple platforms  //  Bidstack is a provider of native in-game advertising that is dynamic, targeted and automated, serving the global video games industry across multiple platforms. Its proprietary technology is capable of inserting adverts into natural advertising space within video games. The key benefit of native in-game advertising over non-native variants (e.g. video rolls and banner ads) is that it appears authentic and “natural” to the environment and does not adversely affect the gamer’s experience. In addition, Bidstack’s advertisements cannot be excluded with ad-blocking software and the gamer cannot, and has no need to, skip through the advertisement. Bidstack’s advertisements retain and can enhance the authenticity of the game’s artwork.  //  "
"AIM All Share","BILN","BILN.L","BILLINGTON HOLDINGS PLC",https://billington-holdings.plc.uk/,"Billington Holdings PLC is a UK based group of companies focused on its structural steel &amp; engineering activities throughout the UK and European markets.  //    //    +44 (0) 1226 340666  //  "
"AIM All Share","BIRD","BIRD.L","BLACKBIRD PLC",https://www.blackbird.video/,"Blackbird is trusted by media companies globally working in sports, esports, news and entertainment. The world&#039;s fastest online cloud video editing platform.  //  The only professional video editor in a browser. Edit remotely, be first to market, scale effortlessly and flexibly, ensure content quality and drive massive efficiencies across your organisation.   //  Blackbird is the world&#8217;s fastest, most powerful professional cloud video editing and publishing platform. Enabling remote editing, Blackbird provides rapid access to video content for the easy creation of clips, highlights and longer form content to multiple devices and platforms.  //  "
"AIM All Share","BKS","BKS.L","BEEKS FINANCIAL CLOUD GROUP PLC",https://beeksgroup.com/,"Delivering low-latency compute and connectivity exclusivelywithin global capital markets and financial services. On-demand.  //    //  Direct connectivity to our ultra-low latency trading network for financial institutions with the need for a dedicated infrastructure delivering greater computing power.  //  "
"AIM All Share","BLTG","BLTG.L","BLANCCO TECHNOLOGY GROUP PLC",https://www.blancco.com/,"Blancco offers certified, secure data erasure software for a range of IT assets, including laptops, mobile devices, LUNs, virtual machines, files and more. Read more.  //  Secure erasure &amp; device diagnostics across a broad range of IT assets  //  Permanently remove data from drives, LUNs, servers &amp; VMs onsite prior to leaving your facility  //  "
"AIM All Share","BLV","BLV.L","BELVOIR GROUP PLC",https://www.belvoirgroup.com/,"Belvoir Group is a leading UK company in residential property lettings and sales.  //  Belvoir Group PLC operates the largest residential property franchise group in the UK  //  Belvoir Group PLC operates the largest residential property franchise group in the UK  //  "
"AIM All Share","BMK","BMK.L","BENCHMARK HOLDINGS PLC",https://www.benchmarkplc.com/,"Benchmark brings together biology and technology to enable food producers to improve their sustainability and profitability.  //  Our mission is to enable food producers to improve their sustainability and profitability.  //  03 December 2020  //  "
"AIM All Share","BOD","BOD.L","BOTSWANA DIAMONDS PLC",http://botswanadiamonds.co.uk/,"Botswana Diamonds PLC 
is a diamond exploration and project development company that holds exploration licences in Botswana and South Africa.  //  The company’s experienced team has a successful track record of discovery. Botswana Diamonds is listed on AIM (Ticker: BOD) and on the Botswana Stock Exchange.  //  "
"AIM All Share","BONH","BONH.L","BONHILL GROUP PLC",https://bonhillplc.com/,"We build market leading brands within our chosen Business Communities.  //  Helping businesses to build, grow and thrive successfully.

•	Business advice & professional commentary
•	Updates on latest legislation
•	Guidance on incorporating technology
•	Resources for maximising profits & revenue streams
•	Peer networking
  //  "
"AIM All Share","BOR","BOR.L","BORDERS & SOUTHERN PETROLEUM PLC",https://www.barnesandnoble.com/h/borders,"Barnes & Noble® welcomes Borders®, Waldenbooks® and their customers to discover their next great read at Barnes & Noble.  //  Bestsellers  //  We Recommend  //  "
"AIM All Share","BPC","BPC.L","BAHAMAS PETROLEUM COMPANY PLC",https://www.bpcplc.com/,"                  
            /  Home
          //  BPC: A full cycle Caribbean and Atlantic margin focussed exploration and production business  //  "
"AIM All Share","BRCK","BRCK.L","BRICKABILITY GROUP PLC",https://www.brickabilitygroupplc.com/,"The Brickability Group plc is 19 companies that bring together specialist products and services to meet the needs of the house building market.  //  Brickability Group plc is a newly Alternative Investment Market (AIM) listed company. Our businesses are focussed around three core product areas; Bricks and Building Materials, Roofing Products and Services as well as Heating, Plumbing and Joinery.  //  Find Out More   //  "
"AIM All Share","BREE","BREE.L","BREEDON GROUP PLC",https://www.breedongroup.com/,"Breedon Group plc is the largest independent construction materials group in the UK.  //  Breedon's quarries in Great Britain are leading producers and suppliers of bulk aggregates: crushed rock in a variety of grades, bagged aggregates, sand and gravel.  //  Our Special Aggregates team produces a range of decorative aggregates, including our award-winning Breedon Golden Amber Gravel.  //  "
"AIM All Share","BRK","BRK.L","BROOKS MACDONALD GROUP PLC",https://www.brooksmacdonald.com/,"Brooks Macdonald is an award-winning investment management firm, dedicated to providing an outstanding level of service to professional advisers, private clients, trusts and charities. Learn more about our investment services here!  //  This area of the site is for professional advisers only who are authorised and regulated by the Financial Conduct Authority. This information may not be distributed to, entered by or relied upon by, retail clients, potential investors or their agent. If you are not a professional advisor please return to the homepage immediately.  //  No part of this website may be reproduced in any manner without the prior written permission of Brooks Macdonald (BM). Professional Advisers will not use information or data from the website to populate their own databases or websites, except that you may print or download extracts for your own personal records.  //  "
"AIM All Share","BUR","BUR.L","BURFORD CAPITAL LIMITED",https://www.burfordcapital.com/,"We help companies to offload legal risk, enhance budget certainty and accelerate return on legal assets.  //  We help law firms to better serve clients, compete for new business and invest in growth.  //  "
"AIM All Share","BYOT","BYOT.L","BYOTROL PLC ORDS 0.25P",https://byotrolplc.com/,"Byotrol is dedicated to improving lives around the world by developing and commercialising market-leading, antimicrobial technologies and products.  //  Professional  //  Consumer   //  "
"AIM All Share","CALL","CALL.L","CLOUDCALL GROUP PLC",https://www.cloudcall.com/,""
"AIM All Share","CAMB","CAMB.L","CAMBRIA AUTOMOBILES PLC",http://www.cambriaautomobilesplc.com/,"This site uses cookies. By using the site you accept our cookie policy.  //    //  "
"AIM All Share","CASP","CASP.L","CASPIAN SUNRISE PLC",https://www.caspiansunrise.com/,"Caspian Sunrise PLC is a Central Asian oil and gas exploration and production company with a focus on Kazakhstan, listed on the AIM market.  //  Caspian Sunrise PLC is a Central Asian oil and gas exploration and production company with a focus on Kazakhstan. The Company was established in 2006 and admitted to trading on the AIM Market of the London Stock Exchange in 2007, when it was known as Roxi Petroleum plc  //  Following the merger with Baverstock, we now have 99% of our flagship BNG asset under our direct control and be, except for monies owed to local oil traders, debt free.  //  "
"AIM All Share","CBP","CBP.L","CURTIS BANKS GROUP PLC",https://www.curtisbanks.co.uk/,"Visit our dedicated COVID-19 webpage for our latest updates and useful documents.  //  Curtis Banks is fully operational with a high number of staff working remotely. The best way to contact us is via email or secure message from your portal account. Searching via our Contact page will help direct your message to the right team. If you need to phone us please search our Contact page to help direct your call to the right team.  //  "
"AIM All Share","CDM","CDM.L","CODEMASTERS GROUP HOLDINGS PLC",https://www.codemasters.com/investors/,"Viewing the materials you seek to access may not be lawful in certain jurisdictions.  In other jurisdictions, only certain categories of person may be allowed to view such materials.  Any person who wishes to view these materials must first satisfy themselves that they are not subject to any local requirements that prohibit or restrict them from doing so.  //  Please read this notice carefully – it applies to all persons who view this webpage.  The disclaimer set out below may be altered or updated from time to time.  You should read it in full each time you visit the site.  //  "
"AIM All Share","CGNR","CGNR.L","CONROY GOLD & NATURAL RESOURCES PLC",https://www.conroygoldandnaturalresources.com/,"Conroy Gold and Natural Resources plc is a gold exploration and development company focused on Ireland and Finland.  //  The Company is looking forward to developing its first gold mine, in the new district scale gold trend which it has discovered in Ireland, and to this end is actively engaged in seeking a joint venture partner.  //  "
"AIM All Share","CHH","CHH.L","CHURCHILL CHINA PLC",https://www.churchill1795.com/,"We blend centuries of experience with cutting edge technology and design innovation to produce one of the strongest ceramic bodies in the world.  //  Manufactured in the UK, Churchill's tableware is precisely engineered to perform to the demands of the hospitality environment.&nbsp;  //  "
"AIM All Share","CIC","CIC.L","CONYGAR INVESTMENT COMPANY PLC",https://conygar.com/,"LATEST SHARE PRICE  //  105.50 &nbsp;&nbsp;(14 Jan)  //  "
"AIM All Share","CIR","CIR.L","CIRCASSIA GROUP PLC",https://www.circassia.com/,"Our ‘FeNO by NIOX®’ range helps physicians around the world see airway inflammation clearly, helping improve asthma diagnosis and management.  //  Our ambition is to improve the quality of life of millions of people suffering from respiratory disease. With our leading range of NIOX® products we’re making good progress.  //  Our ‘FeNO by NIOX®’ range helps physicians around the world see airway inflammation clearly, helping improve asthma diagnosis and management.  //  "
"AIM All Share","CLCO","CLCO.L","CLOUDCOCO GROUP PLC",https://cloudcoco.co.uk/,"CloudCoCo Plc are the UK’s no.1 IT support provider offering unrivalled IT Support and Managed IT services based in Leeds and Warrington  //  Expertly managed infrastructures, cybersecurity and support services to enhance your productivity and peace of mind  //  Learn More   //  "
"AIM All Share","CLON","CLON.L","CLONTARF ENERGY PLC",http://clontarfenergy.com/,"Clontarf Energy plc is an emerging oil &amp; gas Exploration &amp; Production company focused on Africa and South America  //  "
"AIM All Share","CLX","CLX.L","CALNEX SOLUTIONS PLC",https://www.calnexsol.com/en/,"Calnex is the world-leader in test and measurement solutions to prove and monitor the performance and reliability of Ethernet synchronization up to 100Gb/s.  //  日本語ウェブサイト  //  中文网站  //  "
"AIM All Share","CMCL","CMCL.L","CALEDONIA MINING CORP PLC COM SHS NPV (DI)",https://www.caledoniamining.com/,"Caledonia Mining Corporation plc is a cash generative gold producer with a strong growth profile. Caledonia’s primary asset is the Blanket Mine in Zimbabwe.  //  Read More  //  Read More  //  "
"AIM All Share","CNC","CNC.L","CONCURRENT TECHNOLOGIES PLC",https://www.gocct.com/,"Concurrent Technologies are specialists in the design &amp; manufacture of high-performance embedded processor solutions for use in critical applications.  //  Coronavirus update     READ MORE  //  Our products are ideal for long life-cycle applications in a range of challenging environmental conditions  //  "
"AIM All Share","CNIC","CNIC.L","CENTRALNIC GROUP PLC",https://www.centralnic.com/,"CentralNic - Building a better digital economy, supporting more than half of the top twenty new gTLDs.  //  A world leading registry provider for ccTLDs, gTLDs and DotBrands.  //  Building a better digital economy, by making domain names and web services available in virtually every country in the world.  //  "
"AIM All Share","CNR","CNR.L","CONDOR GOLD PLC",https://www.condorgold.com/,"  //     //  "
"AIM All Share","COG","COG.L","CAMBRIDGE COGNITION HOLDINGS PLC",https://www.cambridgecognition.com/,"Cambridge Cognition is the leading global provider of cognitive assessment software for clinical trials, academic research and healthcare provision.  //  Optimise patient selection and demonstrate treatment outcomes  //  Conduct patient-centric virtual clinical trials and identify digital biomarkers  //  "
"AIM All Share","CORA","CORA.L","CORA GOLD LIMITED",https://www.coragold.com/,"Cora Gold is an AIM listed company (AIM:CORA) with offices located in London, B.V.I and Mali, West Africa.  //  "
"AIM All Share","CPC","CPC.L","CITY PUB GROUP PLC (THE)",https://www.citypubcompany.com/,"Individual pubs with great character, fantastic beer, delicious food and excellent service – look no further than The City Pub Company.  //    //  &nbsp;  //  "
"AIM All Share","CPX","CPX.L","CAP-XX LD",https://www.cap-xx.com/,"CAP-XX designs &amp; manufactures the thinnest, high power density &amp; energy storage supercapacitors ideal for portable &amp; small-scale electronic devices. Quotes &amp; Samples available  //    //  
                Username
                
              //  "
"AIM All Share","CRCL","CRCL.L","CORCEL PLC",https://www.corcelplc.com/,"Corcel operates at the intersection of battery metals and their end use cases in energy storage and the electric vehicle revolution  //  More information about Corcel, its board and overall strategy  //  Details on Corcel’s business units and global projects  //  "
"AIM All Share","CRPR","CRPR.L","CROPPER(JAMES) PLC",https://www.jamescropper.com/,"James Cropper is an advanced materials and paper products group using materials from cotton and wood to carbon fibre in packaging, digital imaging and…  //  Coronavirus (COVID-19) – 6th January 2021  //  James Cropper is a world-class advanced materials and paper products group, with an operational reach in over 50 countries.  //  "
"AIM All Share","CRU","CRU.L","CORAL PRODUCTS PLC",https://coralproducts.com/,"Manufacturer &amp; Distributor of Plastics, Plastics Manufacturing and Recycling Coral Products (Mouldings) Interpack Tatra Rotalac Global One Pak  //    //    //  "
"AIM All Share","CRW","CRW.L","CRANEWARE PLC",https://public.craneware.com/,"Stories from our customers about why we are their preferred Value Cycle partner.  //  &#8220;The best thing about Chargemaster Toolkit is that all the information we need to research and make decisions is in one place.&#8221;  //  "
"AIM All Share","CTEA","CTEA.L","CATENAE INNOVATION PLC",https://www.catenaeinnovation.com/,"To receive News &amp; Insights, join our mailing list:&nbsp;  //  Thanks for submitting!  //  "
"AIM All Share","CTH","CTH.L","CARETECH HOLDINGS PLC",https://www.caretech-uk.com/,"CareTech runs a large number of established residential care homes in the UK. Our adult and child care homes cater to a huge range of needs and offer invaluable support and development  //  My needs  //  CareTech solutions  //  "
"AIM All Share","CWR","CWR.L","CERES POWER HOLDINGS PLC",https://www.ceres.tech/,"Ceres are pioneers of unique technology, delivering clean energy to address climate change and improve air quality. Clean energy starts with Ceres.  //  Pioneers of unique technology delivering clean energy to address climate change and improve air quality.  //  Pioneers of unique technology delivering clean energy to address climate change and improve air quality.  //  "
"AIM All Share","D4T4","D4T4.L","D4T4 SOLUTIONS PLC",https://www.d4t4solutions.com/,"ALL ABOUT THE DATA.  D4t4 Solutions provides comprehensive products and services that enable you to get the most from your data - data collection, data management, data analytics and data solutions that drive value from your information assets.  ISO27001 and PCI DSS certified.  //  The Celebrus Enterprise Customer Data Platform captures customer behavior from across digital channels, making first-party data available in real-time for activation in personalization, decisioning and customer analytics applications  //  More about our Celebrus CDP  //  "
"AIM All Share","DBOX","DBOX.L","DIGITALBOX PLC",https://www.digitalbox.com/,"Digitalbox is a pure play digital media company with a pedigree in emerging publishing technologies.  //  We are 100% digital and mobile-focused.  //  "
